"ID","Bar","Description","Neighborhood","Address","Phone","Website","hoursMonday","hoursTuesday","hoursWednesday","hoursThursday","hoursFriday","hoursSaturday","hoursSunday","specialMonday","specialTuesday","specialWednesday","specialThursday","specialFriday","specialSaturday","specialSunday","Note","lat","long"
1,"Taft's Ale House","Artisanal beers, steaks & salads served in a classic brewpub named after Cincinnati’s favorite son.","Over-the-Rhine","1429 Race St, Cincinnati, OH 45202","(513) 334-1393","http://taftsalehouse.com/","11:30AM–10PM","11:30AM–10PM","11:30AM–11PM","11:30AM–12AM","11:30AM–12AM","11:30AM–12AM","11:30AM–9PM",,"Taft Tuesdays - Enjoy Half-Price Pints & Growler Fills ALL DAY by wearing any Brewery or Beer Apparel. Don’t have any threads? Stop-n-shop in Nellie’s Tap Room to pick up your gear!",,,,,,,39.111325,-84.51750995
2,"Sundry and Vice","Striking, well-appointed cocktail spot with a tin ceiling & vintage feel offering inventive drinks.","Over-the-Rhine","18 W 13th St, Cincinnati, OH 45202","(513) 721-8423","http://sundryandvice.com/","Closed","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","12PM–2AM","12PM–12AM",,,,,,,,,39.1094369,-84.5160001
3,"The Rook OTR",,"Over-the-Rhine","1115 Vine St, Cincinnati, OH 45202","(513) 954-8191","https://www.facebook.com/therookotr/","4PM–12AM","4PM–12AM","4PM–12AM","4PM–12AM","4PM–2AM","11AM–2AM","11AM–12AM",,,,,,,,"Lots of different events. ",39.1076943,-84.5148587
4,"The Lackman","Luxe lounge in a turn-of-the-century building offering craft beers & eclectic wines, plus a jukebox.","Over-the-Rhine","1237 Vine Street, Cincinnati, OH 45202","(513) 381-0741","http://www.lackmanbar.com/","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","3PM–2AM","12PM–2AM","12PM–12AM","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines","HAPPY HOUR, Happy Hour | 4-8PM, $2 Off Drafts, $3.25 Domestics, $4.50 Calls, $5 Dark Horse Wines",,39.1093292,-84.5152165
5,"Japp's - Since 1879","Bustling spot for classic & creative cocktails served in casual environs in a storied building.","Over-the-Rhine","1136 Main St, Cincinnati, OH 45202","(513) 381-1524","http://japps1879.com/","Closed","4PM–1AM","4PM–1AM","4PM–1AM","4PM–2AM","5PM–2AM","Closed",,,,"Live Music from Jess Lamb and Friends, 9:00 PM – 11:30 PM, Live music from Cincinnati native, Jess Lamb, and special guests, every week!","The Burning Caravan at Japp's,  5:30 PM – 8:30 PM, Live Music from The Burning Caravan from 530-830pm EVERY Friday!, Rotating Local DJ's in the Lounge, 9:00 PM – 11:30 PM, Every Friday night we host a DJ for a late night set in the lounge! Check us out on Facebook for info on this week's DJ! , 9pm-close every Friday!","Live Happy Hour Music, 6:00 PM – 9:00 PM, Live Happy Hour Music Every Saturday. ",,,39.1088678,-84.5113795
6,"rhinehaus","Laid-back hangout with sports on TV & craft beers offered in a contemporary, exposed-brick space.","Over-the-Rhine","119 E 12th St, Cincinnati, OH 45202","(513) 381-2277","http://www.rhinehausbar.com/","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","7AM–2AM","7AM–12AM",,,,,,,,,39.108539,-84.5124497
7,"Motr Pub","Easygoing hangout with local art on the walls, featuring live rock bands & hearty comfort fare.","Over-the-Rhine","1345 Main St, Cincinnati, OH 45202","(513) 381-6687","http://www.pubcincinnati.com/","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","10AM–2:30AM","10AM–2:30AM",,,,,,,,,39.111099,-84.5123402
8,"Bakersfield OTR","Tacos & a few other Mexican dishes are delivered in a chic, upbeat, margarita-fueled atmosphere.","Over-the-Rhine","1213 Vine St, Cincinnati, OH 45202","(513) 579-0446","http://www.bakersfieldtacos.com/","11AM–12AM","11AM–12AM","11AM–12AM","11AM–12AM","11AM–2AM","11AM–2AM","11AM–12AM",,,,,,,,,39.1086918,-84.5150696
9,"Below Zero Lounge","Trendy spot with upbeat music serving over 100 vodkas, with featured vodkas served at 6° F.","Over-the-Rhine","1120 Walnut St, Cincinnati, OH 45202","(513) 421-9376","http://www.belowzerolounge.com/","Closed","Closed","4PM–12AM","4PM–2AM","4PM–2AM","4PM–2AM","4PM–12AM","Happy Hour, 4-8pm","Happy Hour, 4-8pm","Happy Hour, 4-8pm","Happy Hour, 4-8pm","Happy Hour, 4-8pm","Happy Hour, 4-8pm","Happy Hour, 4-8pm",,39.10836,-84.5128840013411
10,"1215 Wine Bar & Coffee Lab","Homey, brick-walled cafe & bar offering breakfast, baked goods, small plates & wine tastings.","Over-the-Rhine","1215 Vine St, Cincinnati, OH 45202","(513) 429-5745","http://www.1215vine.com/","8AM–10PM","8AM–10PM","8AM–11PM","8AM–12AM","8AM–12AM","9AM–12AM","9AM–7PM",,,,,,,,,39.1072609,-84.514515
